line,station,newest_date_folder,newest_files_name
HA18,AE-01,2023-03-04,AE-01_20230304152119.avi
HA18,DY-01,2023-03-04,DY-01_20230228161408.avi
HA20,AO-16,2023-03-02,AO-16_20230302103206.avi
HA20,AO-17,2023-03-02,AO-17_20230302103206.avi
HA20,AO-20,2023-03-02,AO-20_20230302103506.avi
HA20,QF-01,2023-03-04,QF-01_20230303153614.avi
HA6,AO-13,2023-03-04,AO-13_20230304152719.avi
HA9,AO-07,2023-03-03,AO-07_20230218183912.avi
HA10,AO-01,2023-03-04,AO-01_20230304151447.avi
HA10,AO-02,2023-03-04,AO-02_20230304151447.avi
HA10,AO-03,2023-03-03,AO-03_20230303164453.avi
HA10,AO-04,2023-03-03,AO-04_20230303164444.avi
HA10,AO-05,2023-03-04,AO-05_20230304151448.avi
HA10,AO-06,2023-03-04,AO-06_20230304150810.avi
HA10,AO-07,2023-03-04,AO-07_20230304150819.avi
HA10,AO-08,2023-03-04,AO-08_20230304152517.avi
HA10,AO-09,2023-03-04,AO-09_20230303174746.avi
HA10,AO-10,2023-03-03,AO-10_20230303174747.avi
HA10,AO-11,2023-03-04,AO-11_20230304151626.avi
HA10,AO-12,2023-03-04,AO-12_20230304151635.avi
HA10,IO-01,2023-03-04,IO-01_20230304151536.avi
HA10,QF-01,2023-03-04,QF-01_20230304145342.avi
HA10,TV-01,2023-03-04,TV-01_20230304150246.avi
HA10,U6-01,2023-03-04,U6-01_20230304151535.avi
HA17,AE-01,2023-03-04,AE-01_20230304120702.avi
HA17,AO-02,2023-03-04,AO-02_20230304143353.avi
HA17,AO-03,2023-03-04,AO-03_20230304150355.avi
HA17,AO-04,2023-03-04,AO-04_20230304153359.avi
HA17,AO-05,2023-03-04,AO-05_20230304150355.avi
HA17,AO-10,2023-03-04,AO-10_20230303185733.avi
HA17,AO-12,2023-03-04,AO-12_20230304150430.avi
HA17,AO-13,2023-03-04,AO-13_20230304150457.avi
HA17,AO-16,2023-03-04,AO-16_20230304152658.avi
HA17,AO-17,2023-03-04,AO-17_20230304152713.avi
HA17,IO-01,2023-03-03,IO-01_20230303183006.avi
HA17,QF-01,2023-03-03,QF-01_20230303181646.avi
HA22,AO-02,2023-03-04,AO-02_20230304150608.avi
HA22,AO-03,2023-03-04,AO-03_20230304152515.avi
HA22,AO-07,2023-03-04,AO-07_20230304152454.avi
HA22,AO-08,2023-03-04,AO-08_20230304151218.avi
HA22,AO-11,2023-03-04,AO-11_20230304083352.avi
HA22,AO-13,2023-03-04,AO-13_20230304083619.avi
HA22,AO-15,2023-03-04,AO-15_20230304152932.avi
HA22,AO-21,2023-03-04,AO-21_20230304152702.avi
HA22,AO-22,2023-03-04,AO-22_20230304152653.avi
HA22,AO-23,2023-02-28,AO-23_20230228113532.avi
HA22,IN-01,2023-03-04,IN-01_20230304105321.avi
HA3,AO-04,2023-03-04,AO-04_20230226064712.avi
HA3,IO-01,2023-03-03,IO-01_20230303191140.avi
HA3,IO-02,2023-03-03,IO-02_20230303191138.avi
HA3,PW-01,2023-03-02,PW-01_20230302073542.avi
HA3,QF-01,2023-03-04,QF-01_20230304150720.avi
HA3,TV-02,2023-03-04,TV-02_20230304150742.avi
HA3,U6-01,2023-03-04,U6-01_20230304152742.avi
HA3,U6-02,2023-03-04,U6-02_20230304151148.avi
HA21,AO-02,2023-03-03,AO-02_20230303152536.avi
HA21,AO-06,2023-03-03,AO-06_20230303145750.avi
HA21,AO-07,2023-03-04,AO-07_20230304151401.avi
HA21,AO-08,2023-03-02,AO-08_20230302092232.avi
HA21,AO-09,2023-03-03,AO-09_20230303152756.avi
HA21,AO-10,2023-03-03,AO-10_20230303152626.avi
HA21,AO-11,2023-03-03,AO-11_20230303102552.avi
HA21,AO-13,2023-03-03,AO-13_20230303150619.avi
HA21,AO-16,2023-03-03,AO-16_20230303145726.avi
HA21,AO-18,2023-03-03,AO-18_20230303145758.avi
HA21,AO-19,2023-03-03,AO-19_20230303145759.avi
HA21,QF-01,2023-03-04,QF-01_20230304145646.avi
HA21,TT-01,2023-03-03,TT-01_20230303141514.avi
HA15,AE-01,2023-03-04,AE-01_20230304150945.avi
HA15,AO-02,2023-03-03,AO-02_20230303145742.avi
HA15,AO-03,2023-03-03,AO-03_20230303144212.avi
HA15,AO-05,2023-03-03,AO-05_20230303144200.avi
HA15,AO-07,2023-03-04,AO-07_20230304151046.avi
HA15,AO-11,2023-03-03,AO-11_20230303095047.avi
HA15,AO-13,2023-03-03,AO-13_20230303132810.avi
HA15,AO-14,2023-03-03,AO-14_20230303150652.avi
HA15,AO-16,2023-03-03,AO-16_20230303150651.avi
HA15,IO-01,2023-03-04,IO-01_20230304150936.avi
HA15,QF-01,2023-03-04,QF-01_20230304150954.avi
HA15,TP-01,2023-03-03,TP-01_20230303181604.avi
