Domain,Computer,IP Address,Listen Port,Domain Hierarchy,Connection Status,GUID,Scan Method,File Reputation service Status,File Reputation service URL,Web Reputation service Status,Web Reputation service URL,Virus/Malware,Spyware/Grayware,OPP,Update Agent Component,Update Agent Setting,Update Agent Program and Hotfixes,Platform,Architecture,MAC Address,Client Program,Cisco Trust Agent,Smart Scan Agent Pattern,Virus Pattern,IntelliTrap Pattern,IntelliTrap Exception Pattern,Virus Scan Engine,Spyware Pattern,Spyware Active-monitoring Pattern,Spyware Scan Engine,Virus Cleanup Template,Virus Cleanup Engine,Behavior Monitoring Driver,Behavior Monitoring Core Service,Behavior Monitoring Configuration Pattern,Digital Signature Pattern,Policy Enforcement Pattern,Behavior Monitoring Detection Pattern,Last Startup,Last Shutdown,Client Installation,Client Upgrade,Hotfix,Last Virus Scan (Manual),Last Virus Scan (Real-time),Last Virus Scan (Scheduled),Last Virus Scan (Scan Now),Last Spyware Scan (Manual),Last Spyware Scan (Real-time),Last Spyware Scan (Scheduled),Last Spyware Scan (Scan Now),C&C IP List,
Workgroup\,P5TE-54001457,192.168.123.83,32618,Workgroup\,Online,b0df839f-2f07-4abb-a639-b5281b23045d,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,78-AC-C0-FB-AF-DE,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/11/2018 14:53:23,7/13/2018 9:58:13,5/30/2017 13:22:22,N/A,8/8/2018 19:50:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001458,192.168.123.93,12345,Workgroup\,Online,c54a92ff-a62b-4e09-80b8-16aff2cdb78a,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,78-AC-C0-FA-42-AC,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:57:41,8/11/2018 14:53:57,5/30/2017 18:39:54,5/30/2017 18:56:32,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001459,192.168.123.88,12345,Workgroup\,Online,7f3fa4c5-3f13-466d-b1eb-bb0bca464a3d,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,78-AC-C0-FA-22-EE,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:56:34,8/11/2018 14:52:16,5/30/2017 9:14:18,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001460,172.30.26.83,12345,Workgroup\,Online,a1d77a4a-795e-49f5-855a-751f7a46a0b1,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,78-AC-C0-FA-69-4E,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 15:01:44,8/11/2018 14:54:47,5/30/2017 8:24:38,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001484,192.168.123.50,32618,Workgroup\,Online,0ca90cec-6bd5-47ec-8b4b-338d1d981f2d,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,E4-11-5B-B3-91-84,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/11/2018 14:35:39,7/16/2018 8:59:55,5/30/2017 10:44:08,N/A,8/8/2018 19:50:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001485,192.168.123.91,12345,Workgroup\,Online,7991f42d-e5af-42e8-9a47-6444c6969f22,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,E4-11-5B-B2-49-D8,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:58:29,8/11/2018 8:41:37,5/30/2017 11:31:45,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001486,192.168.123.230,12345,Workgroup\,Online,748d6b5a-9e03-4bdf-b870-04459f050321,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,E4-11-5B-0D-3A-06,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:47:51,8/11/2018 15:10:35,5/30/2017 11:31:25,5/30/2017 11:41:50,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001490,192.168.123.58,32618,Workgroup\,Online,068c428a-b9b4-4e59-9efd-ff14f63deedf,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,E8-39-35-26-8B-30,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/11/2018 14:38:30,2/14/2018 10:41:46,5/30/2017 13:33:33,N/A,8/8/2018 19:50:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001493,192.168.123.101,32618,Workgroup\,Online,ace97522-7645-4ae7-9967-f22d608d3c88,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,E8-39-35-26-8A-96,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/11/2018 14:59:08,8/11/2018 14:55:25,5/30/2017 13:29:17,N/A,8/8/2018 19:50:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001531,192.168.123.87,32618,Workgroup\,Online,f1e404e7-87cd-42e0-aa34-de042271e079,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,E8-39-35-26-89-88,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:56:02,8/11/2018 14:51:36,5/30/2017 8:05:21,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
